Data,Balanço,
1995.01,0.9603364,
1995.02,0.8,
1995.03,0.00954492,
1995.04,0.4499,
1995.05,2.024977,
1995.06,3.1023142,
1995.07,1.107985,
1995.08,0.33988616,
1995.09,3.21211685,
1995.10,1.69972,
1995.11,0.75205277,
1995.12,3.555,
1996.01,1.31998,
1996.02,0.263,
1996.03,0.635275,
1996.04,0.185,
1996.05,2.247764,
1996.06,18.86365192,
1996.07,2.97475154,
1996.08,2.62498449,
1996.09,0.31542387,
1996.10,3.7743285,
1996.11,12.44183622,
1996.12,0.94136149,
1997.01,2.03964738,
1997.02,-0.176250240000001,
1997.03,0.896,
1997.04,-1.17537361,
1997.05,24.0737621,
1997.06,7.15624266,
1997.07,22.37592167,
1997.08,2.81206932,
1997.09,3.24589153,
1997.10,10.42834,
1997.11,11.75998779,
1997.12,0.546774460000002,
1998.01,2.52332744,
1998.02,5.34172813,
1998.03,0.86505168,
1998.04,1.07159452,
1998.05,10.55555318,
1998.06,14.9036862,
1998.07,3.82899093,
1998.08,0.05906231,
1998.09,0.735084,
1998.10,1.62518626,
1998.11,6.4555672,
1998.12,2.46166843,
1999.01,0.295201,
1999.02,2.93023,
1999.03,2.59858384,
1999.04,6.10623812,
1999.05,17.14588662,
1999.06,12.28936736,
1999.07,-2.54483288,
1999.08,1.28833,
1999.09,3.99167425,
1999.10,7.73318605,
1999.11,7.74688279,
1999.12,1.09617955,
2000.01,3.37074276,
2000.02,0.347206,
2000.03,-0.5786695,
2000.04,-0.16290654,
2000.05,12.08351646,
2000.06,21.31266073,
2000.07,30.12780014,
2000.08,5.0880331,
2000.09,21.82128221,
2000.10,4.7602585,
2000.11,22.88093244,
2000.12,5.76806014,
2001.01,5.4045325,
2001.02,2.846239,
2001.03,3.61913419,
2001.04,3.30853967,
2001.05,39.44503222,
2001.06,21.63720916,
2001.07,5.88955769,
2001.08,8.56568965,
2001.09,1.31434731,
2001.10,1.40688641,
2001.11,4.03940814,
2001.12,8.20802918,
2002.01,0.70436286,
2002.02,6.87481927,
2002.03,1.32734536,
2002.04,17.61102125,
2002.05,10.19405779,
2002.06,9.37942758,
2002.07,2.27668009,
2002.08,4.26188821,
2002.09,15.00075907,
2002.10,0.5303944,
2002.11,8.79301683,
2002.12,2.32496941,
2003.01,1.08085927,
2003.02,1.322606,
2003.03,0.74039,
2003.04,2.53622927,
2003.05,1.17819297,
2003.06,26.72940999,
2003.07,8.83014051,
2003.08,2.58852386,
2003.09,12.5357728,
2003.10,2.68987933,
2003.11,9.23453874,
2003.12,13.37841211,
2004.01,10.07357648,
2004.02,4.8793423,
2004.03,8.0005641,
2004.04,5.24354781,
2004.05,21.38824068,
2004.06,9.80747436,
2004.07,-30.00323285,
2004.08,-300.88559178,
2004.09,6.33836264,
2004.10,6.67174266,
2004.11,7.9125399,
2004.12,37.47728661,
2005.01,21.23646391,
2005.02,-5.53670872,
2005.03,15.79641595,
2005.04,3.64947089,
2005.05,112.60796043,
2005.06,12.8955321,
2005.07,14.23436812,
2005.08,35.0919491,
2005.09,33.62913127,
2005.10,6.45456733,
2005.11,9.45766988,
2005.12,-72.47232848,
2006.01,8.08717667,
2006.02,4.78099904,
2006.03,4.75062825,
2006.04,6.86787294,
2006.05,12.53853877,
2006.06,29.56653261,
2006.07,19.11786476,
2006.08,9.31012116,
2006.09,8.1661325,
2006.10,49.10788425,
2006.11,15.68296348,
2006.12,11.74970057,
2007.01,13.12731637,
2007.02,6.008246,
2007.03,2.74078954,
2007.04,1.5637866,
2007.05,13.29314774,
2007.06,105.65854835,
2007.07,14.13444555,
2007.08,10.31747681,
2007.09,9.97335606,
2007.10,18.30145022,
2007.11,35.5488948,
2007.12,18.6933251,
2008.01,7.64651468,
2008.02,11.88445535,
2008.03,-0.91481522,
2008.04,-24.63039388,
2008.05,23.78580028,
2008.06,45.37192784,
2008.07,43.56604996,
2008.08,9.20872851,
2008.09,7.33299437,
2008.10,8.41365733,
2008.11,16.99014456,
2008.12,3.441563,
2009.01,10.20178228,
2009.02,4.35517462,
2009.03,11.80464919,
2009.04,1.48876142,
2009.05,35.60628358,
2009.06,39.34652708,
2009.07,15.36865518,
2009.08,6.69408323,
2009.09,7.34838449,
2009.10,11.48955122,
2009.11,44.80394015,
2009.12,48.70951161,
2010.01,46.29752233,
2010.02,7.91176938,
2010.03,23.58350904,
2010.04,12.4451574,
2010.05,12.24524404,
2010.06,9.10168885,
2010.07,47.08206558,
2010.08,27.9385519,
2010.09,43.27313639,
2010.10,13.06435755,
2010.11,15.78082784,
2010.12,-16.67034022,
2011.01,15.29480962,
2011.02,34.75054467,
2011.03,24.42883757,
2011.04,13.86170649,
2011.05,18.78908555,
2011.06,-0.995362919999999,
2011.07,53.72304648,
2011.08,24.63364098,
2011.09,33.52194053,
2011.10,16.51423263,
2011.11,10.52673922,
2011.12,10.74552986,
2012.01,6.5022333,
2012.02,7.68885627,
2012.03,14.38138766,
2012.04,6.32938188,
2012.05,21.67494916,
2012.06,14.44846697,
2012.07,28.02079959,
2012.08,62.60112305,
2012.09,15.45106982,
2012.10,-5.05531049,
2012.11,27.2364031,
2012.12,8.63494058,
2013.01,68.96587685,
2013.02,8.10678891,
2013.03,20.7814729,
2013.04,13.06729896,
2013.05,4.02611359,
2013.06,17.98790341,
2013.07,62.78365115,
2013.08,61.49408807,
2013.09,15.71391481,
2013.10,22.42995247,
2013.11,9.73811151,
2013.12,17.15856535,
2014.01,46.19999863,
2014.02,25.62135145,
2014.03,12.39530702,
2014.04,5.1676144,
2014.05,4.73281053,
2014.06,6.40724398,
2014.07,-1.90343807,
2014.08,25.291305,
2014.09,35.27797838,
2014.10,27.26980808,
2014.11,26.76160667,
2014.12,18.25697133,
2015.01,13.36251246,
2015.02,50.30848378,
2015.03,14.70498736,
2015.04,9.51388848,
2015.05,36.00171381,
2015.06,18.81749673,
2015.07,54.39018327,
2015.08,65.12576607,
2015.09,31.16364583,
2015.10,14.1119714,
2015.11,1.04380391,
2015.12,152.61340307,
2016.01,29.04682826,
2016.02,41.62971274,
2016.03,16.85440794,
2016.04,1.07488742,
2016.05,9.82159927,
2016.06,13.67714003,
2016.07,17.72803264,
2016.08,51.25326794,
2016.09,17.35176167,
2016.10,42.04107436,
2016.11,24.34737771,
2016.12,8.94423326,
2017.01,37.7980166,
2017.02,59.48828754,
2017.03,23.26344945,
2017.04,11.05168728,
2017.05,11.72897565,
2017.06,36.49988413,
2017.07,50.08928154,
2017.08,51.56168263,
2017.09,44.92138545,
2017.10,46.21137296,
2017.11,0.93487717,
2017.12,5.82088273,
2018.01,40.4916825,
2018.02,34.16094072,
2018.03,35.13166824,
2018.04,41.5873748,
2018.05,25.5914313,
2018.06,14.80807841,
2018.07,103.98647314,
2018.08,50.85595393,
2018.09,33.22341089,
2018.10,21.69304298,
2018.11,14.85675263,
2018.12,23.29078354,
2019.01,33.6572414,
2019.02,14.85074875,
2019.03,49.55502738,
2019.04,28.99467086,
2019.05,16.49948738,
2019.06,3.46160179,
2019.07,72.98630292,
2019.08,67.64730368,
2019.09,25.08929914,
2019.10,18.04334224,
2019.11,16.93120274,
2019.12,21.49295052,
2020.01,58.5331375,
2020.02,34.10302184,
